descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
MÁQUINA ALÇA FLET 1,,4262624,2026-03-11,163001,50558,1181766/0030,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,17:02:39,22:00:00
REBOBINADEIRA 6,,4262626,2026-03-11,162006,13678,1181766/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,17:08:51,22:00:00
SACL FOLHA 1 - ZB,,4262636,2026-03-11,165101,29020,1181143/0030,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,17:33:50,22:00:00
NEW LONG 18 G,,4262638,2026-03-11,165018,29120,1175772/0030,13020111-0001,SACL PAP AUT FSC® M INST23 CBC,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,17:47:33,22:00:00
CORTADEIRA SEMIGO,,4262644,2026-03-11,150003,3163,1181546/0010,2100059513,SACL PAP MAN FSC® G DENGO,DENGO,02,OFFSET,1,17:57:56,18:02:23
FLEXO TECH,,4262646,2026-03-11,160008,9730,1181770/0010,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,17:58:56,18:22:49
GUILHOTINA 2,,4262652,2026-03-11,151002,100000,1180315/0020,2400007913,REF FDO 375G L175X070MM VITAMAX PCT/50, ,02,OFFSET,1,18:13:04,21:20:59
SACL FOLHA 2 - ZB,,4262670,2026-03-11,165102,20825,1179309/0040,13021350-0001,90822 SACL PAP NLF FSC®M PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,19:24:51,22:00:00
MK HEIDELBERG PROMATRIX 2,,4262672,2026-03-11,155012,2081,1181740/0020,11054564-0001,4875500 CTCHO FSC®PROF CLAIR CI 30G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,19:34:42,22:00:00
SACL FOLHA 4 - ZB,,4262686,2026-03-11,165104,19180,1181142/0031,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,20:17:52,22:00:00
CORTADEIRA FURNAX,,4262689,2026-03-11,150001,6897,1178867/0010,2100067405,FDO CX RIG HIB M INST23 AU BRE LOCCI,LOCCITANE,02,OFFSET,1,20:20:51,22:00:00
CORTE E SOLDA 3,,4262738,2026-03-11,167103,35000,1179636/0010,11047500-0001,53660 SACO PLT M AMARRADINHO NV23 EUD,,01,FLEXOGRAFICA,1,22:00:00,06:00:00
SACL FOLHA 6 - ZB,,4262740,2026-03-11,165106,16472,1179301/0041,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,23:15:41
SACL FOLHA 9 - ZB,,4262743,2026-03-11,165109,20,1181143/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,22:48:41
MÁQUINA ALÇA FLET 3,,4262749,2026-03-11,163003,247859,1181074/0031,2400009285,FIO CHATA FSCM VD P556C BOT INST25, ,01,FLEXOGRAFICA,1,22:00:00,06:00:00
TORCEDEIRA 10 GALAN,,4262750,2026-03-11,163010,59282,1176038/0031,2200000391,FIO P.T FSCM - A33 - VERMELHO - P485C, ,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 10 INDUSTRIAL,,4262756,2026-03-11,165010,19810,1180448/0020,13019479-0002,SACL PAP AUT FSC® M V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 11 - P,,4262757,2026-03-11,165011,22475,1173097/0020,13020360-0001,SACL PAP AUT FSC®PP MOGNO INST23 MAHOGA,MAHOGANY,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG FOLHA,,4262762,2026-03-11,165019,10508,1181468/0050,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 21,,4262764,2026-03-11,165021,16808,1180682/0050,13021508-0001,SACL PAP AUT NLF M INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,06:00:00
GOFRADEIRA OFFSET,,4262771,2026-03-11,172001,2177,1181745/0030,11054687-0001,50576986-A SACL PAP MAN FSC®MINI CHI NAT,ANTILHAS INDUSTRIA,02,OFFSET,1,22:00:00,22:03:50
NEW LONG 24,,4262796,2026-03-11,165024,29603,1180623/0020,13019659-0002,SACL PAP AUT G PARDA V2 VD BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
REBOBINADEIRA 6,,4262797,2026-03-11,162006,25910,1181766/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,05:04:33
HOT BOBINA 03,,4262798,2026-03-11,175003,3965,1181770/0020,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,02,OFFSET,1,22:00:00,22:27:24
TORCEDEIRA 4,,4262801,2026-03-11,163023,98521,1181766/0031,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 22,,4262803,2026-03-11,165022,37251,1180451/0020,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 23,,4262804,2026-03-11,165023,30975,1179299/0020,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,22:00:00,06:00:00
FLEXO TECH,,4262806,2026-03-11,160008,41385,1181072/0010,13021351-0001,90823 SACL PAP NLF FSC®G PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
HOT BOBINA 01 ,,4262807,2026-03-11,175001,15600,1181773/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,04:49:40
MK HEIDELBERG PROMATRIX 2,,4262808,2026-03-11,155012,1715,1181740/0020,11054564-0001,4875500 CTCHO FSC®PROF CLAIR CI 30G ACHE,ANTILHAS INDUSTRIA,02,OFFSET,1,22:00:00,22:10:34
NEW LONG 4,,4262810,2026-03-11,165004,28357,1179836/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 8,,4262811,2026-03-11,165008,28114,1173035/0020,13020921-0001,SACL PAP AUT FSC® P INST24 HAVAIANAS,HAVAIANAS,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 17 P,,4262812,2026-03-11,165017,23183,1179601/0020,2100078945,50548352 SACL AUT FSC®MEDI CPV25 NAT,NATURA MEXICO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
GUILHOTINA HERCULES,,4262816,2026-03-11,151004,16570,1178058/0020,2100067405,FDO CX RIG HIB M INST23 AU BRE LOCCI,LOCCITANE,02,OFFSET,1,22:00:00,00:05:16
GUILHOTINA - ACAB NL 03,,4262821,2026-03-11,151007,75600,1181449/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,00:45:04
ROLAND 704,,4262846,2026-03-11,152006,4244,1181670/0030,11054706-0001,CINTA FSC®M PASCOA26 BOT,BOTICARIO,02,OFFSET,1,22:00:00,23:21:33
ONYX 808,,4262872,2026-03-11,160007,72340,1181818/0010,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,06:00:00
NEW LONG 5,,4262880,2026-03-11,165005,25524,1177834/0020,13019832-0001,SACL PAP AUT FSC® P SP INST22 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,22:00:00,06:00:00
GOFRADEIRA OFFSET,,4262892,2026-03-11,172001,6499,1181745/0030,11054687-0001,50576986-A SACL PAP MAN FSC®MINI CHI NAT,ANTILHAS INDUSTRIA,02,OFFSET,1,22:03:50,06:00:00
CORTADEIRA FURNAX,,4262894,2026-03-11,150001,16497,1178867/0010,2100067405,FDO CX RIG HIB M INST23 AU BRE LOCCI,LOCCITANE,02,OFFSET,1,22:06:58,06:00:00
MK HEIDELBERG PROMATRIX 3 ,,4262902,2026-03-11,155013,20061,1178452/0040,2100061622,SACL PAP SAUT FSC® P LIFE VIVARA,VIVARA,02,OFFSET,1,22:18:07,06:00:00
NEW LONG 18 G,,4262914,2026-03-11,165018,30747,1175772/0030,13020111-0001,SACL PAP AUT FSC® M INST23 CBC,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,22:20:46,06:00:00
C/V HEIDELBERG PROMATRIX 1 ,,4262915,2026-03-11,155010,25718,1180250/0040,2100077630,89402 CX FD FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:21:32,06:00:00
