descmaq,colaborador,numapont,data,maq, qtdprodconfirmada ,numdaop,codproduto,descricaodeproduto,nomedocliente,coddepto,descdepto,codcliente,horainical,horatermino
ROLAND 702,,4253049,2026-03-01,152005,19553,1181277/0020,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
HOT BOBINA 01 ,,4253115,2026-03-01,175001,22961,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,02,OFFSET,1,06:00:00,14:00:00
FLEXO TECH,,4253196,2026-03-01,160008,83072,1181493/0015,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:32:19,14:00:00
ONYX 808,,4253208,2026-03-01,160007,99340,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:59:17,14:00:00
HOT BOBINA 01 ,,4253258,2026-03-01,175001,14686,1178408/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,18:02:53
ROLAND 702,,4253330,2026-03-01,152005,21375,1181277/0020,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,18:54:52
ONYX 808,,4253348,2026-03-01,160007,49446,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,19:10:13
FLEXO TECH,,4253349,2026-03-01,160008,40972,1181493/0015,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
HOT BOBINA 01 ,,4253405,2026-03-01,175001,6766,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,02,OFFSET,1,18:02:53,22:00:00
ROLAND 702,,4253408,2026-03-01,152005,9033,1181277/0020,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,18:54:52,21:03:18
ONYX 808,,4253409,2026-03-01,160007,28563,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,19:10:13,22:00:00
ONYX 808,,4253577,2026-03-01,160007,71959,1180971/0010,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,22:00:00,05:05:16
HOT BOBINA 01 ,,4253578,2026-03-01,175001,20839,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,,02,OFFSET,1,22:00:00,06:00:00
SACL FOLHA 3 - ZB,,4253625,2026-03-02,165103,17882,1180205/0035,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,14:00:00
CORTADEIRA FURNAX,,4253630,2026-03-02,150001,1,1178314/0020,13019721-0001,SACL PAP AUT NLN FSC® M INST22 T&F,TRACK & FIELD,02,OFFSET,1,06:00:00,07:03:45
REBOBINADEIRA 1,,4253654,2026-03-02,162001,5262,1181492/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:00:00,08:14:58
NEW LONG 5,,4253666,2026-03-02,165005,22870,1179327/0020,13019540-0001,50381317 SACL PAP AUT FSC®PP GEN NAT EXP,NATURA CHILE,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 8,,4253668,2026-03-02,165008,10324,1179938/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 10 INDUSTRIAL,,4253669,2026-03-02,165010,21834,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,06:00:00,13:57:25
NEW LONG 11 - P,,4253670,2026-03-02,165011,25016,1179199/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 16 P,,4253674,2026-03-02,165016,3,1179202/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 20,,4253678,2026-03-02,165020,17309,1177833/0050,13019720-0001,SACL PAP AUT NLN FSC® P INST22 T&F,TRACK & FIELD,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 21,,4253679,2026-03-02,165021,4857,1179865/0050,13021635-0001,94371 SACL PAP NLF FSC®M MAES26 EUD,EUDORA,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 22,,4253681,2026-03-02,165022,20698,1181344/0021,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 23,,4253683,2026-03-02,165023,18403,1181344/0020,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,06:00:00,14:00:00
NEW LONG 24,,4253685,2026-03-02,165024,18720,1178337/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,06:00:00,14:00:00
HOT BOBINA 03,,4253704,2026-03-02,175003,15865,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
GUILHOTINA 2,,4253723,2026-03-02,151002,108000,1181390/0020,2100077670,90822 REF FDO FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:00:00,14:00:00
SACL FOLHA 2 - ZB,,4253765,2026-03-02,165102,15633,1180076/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:02:16,14:00:00
HOT BOBINA 01 ,,4253774,2026-03-02,175001,7331,1178408/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:08:26,09:49:36
SACL FOLHA 4 - ZB,,4253777,2026-03-02,165104,24254,1180084/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,06:33:17,14:00:00
MK HEIDELBERG PROMATRIX 3 ,,4253781,2026-03-02,155013,2607,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,06:37:25,10:49:21
HOT BOBINA 02,,4253797,2026-03-02,175002,5565,1180681/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,06:49:34,13:31:44
COLADEIRA EASYGLUER 100,,4253806,2026-03-02,156003,25081,1180319/0050,2100080954,CX FDO P PRES INST26 BC,CHOC BRASIL CACAU,02,OFFSET,1,07:01:18,14:00:00
REBOBINADEIRA 6,,4253808,2026-03-02,162006,16264,1179926/0005,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,07:03:13,14:00:00
SACL FOLHA 9 - ZB,,4253810,2026-03-02,165109,15858,1180076/0032,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:09:05,14:00:00
SACL FOLHA 5 - ZB,,4253817,2026-03-02,165105,14800,1180089/0030,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,,01,FLEXOGRAFICA,1,07:25:05,14:00:00
NEW LONG 3,,4253829,2026-03-02,165003,23813,1179202/0015,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,07:41:44,14:00:00
FLEXO TECH,,4253831,2026-03-02,160008,50881,1181493/0015,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:44:59,13:21:34
TORCEDEIRA 12 GALAN,,4253833,2026-03-02,163012,44622,1181079/0021,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,07:48:02,13:59:56
MÁQUINA ALÇA FLET 3,,4253834,2026-03-02,163003,106730,1181492/0031,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:48:13,13:59:44
LAMINADORA ZFM1080S,,4253835,2026-03-02,161007,11456,1180793/0040,2100081090,SACL PAP MAN FSC®P MAES26 LE LIS,LE LIS BLANC,01,FLEXOGRAFICA,1,07:48:19,14:00:00
SACL FOLHA 6 - ZB,,4253838,2026-03-02,165106,15362,1180205/0033,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,07:57:05,14:00:00
NEW LONG 17 P,,4253846,2026-03-02,165017,7631,1180612/0020,13019433-0003,SACL PAP AUT FSC® P INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,08:14:23,14:00:00
REBOBINADEIRA 1,,4253848,2026-03-02,162001,24560,1181493/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,08:16:49,14:00:00
CORTADEIRA FURNAX,,4253849,2026-03-02,150001,4854,1180681/0030,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,08:24:51,12:01:52
GUILHOTINA - ACAB NL 03,,4253850,2026-03-02,151007,152400,1180744/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,08:25:52,14:00:00
MK HEIDELBERG PROMATRIX 2,,4253851,2026-03-02,155012,4855,1175005/0040,2100078739,CAPA EXT TPA TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,08:28:57,13:31:17
C/V AUTO VARIMATRIX 3,,4253858,2026-03-02,155007,1222,1175009/0040,2100078741,CAPA EXT FDO TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,09:27:53,14:00:00
HOT BOBINA 01 ,,4253862,2026-03-02,175001,6709,1178408/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,09:49:36,13:29:45
GUILHOTINA HERCULES,,4253864,2026-03-02,151004,29850,1181491/0030,2100080232,61022252 SACL PAP NLF FSC®P STD 26 AVON,NATURA,02,OFFSET,1,09:57:47,10:31:19
GUILHOTINA HERCULES,,4253866,2026-03-02,151004,2500,1180422/0010,2100077766,94315 REF ALCA FSC®M TOP INST25 BOT,BOTICARIO,02,OFFSET,1,10:31:51,12:00:09
TORCEDEIRA 11 GALAN,,4253867,2026-03-02,163011,44130,1181079/0022,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,10:33:40,14:00:00
MÁQUINA ALÇA FLET 2,,4253868,2026-03-02,163002,100014,1181492/0030,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,10:34:10,14:00:00
MK HEIDELBERG PROMATRIX 3 ,,4253871,2026-03-02,155013,8961,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,10:49:21,13:23:16
NEW LONG 18 G,,4253872,2026-03-02,165018,8709,1179945/0020,2100072233,50495344 SACL AUT FSC®M BAS PAC10,NATURA,01,FLEXOGRAFICA,1,10:53:01,14:00:00
GUILHOTINA POLAR 150,,4253873,2026-03-02,151006,19400,1180681/0040,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,11:10:41,14:00:00
HOT-STAMPING 6,,4253877,2026-03-02,154005,3340,1180567/0050,2100079017,ENV CARTAO VALE PRES IND INST25 BOT,,02,OFFSET,1,11:23:56,14:00:00
CORTADEIRA FURNAX,,4253884,2026-03-02,150001,7927,1180681/0030,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,12:01:52,12:16:14
ONYX 808,,4253887,2026-03-02,160007,32723,1180991/0010,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,12:13:23,14:00:00
CORTADEIRA FURNAX,,4253896,2026-03-02,150001,9206,1180681/0030,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,13:15:11,13:49:55
MK HEIDELBERG PROMATRIX 3 ,,4253901,2026-03-02,155013,3300,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,13:23:16,14:00:00
MK HEIDELBERG PROMATRIX 2,,4253905,2026-03-02,155012,782,1175005/0040,2100078739,CAPA EXT TPA TIPO E FSC®TENIS U NETSHOES,,02,OFFSET,1,13:31:17,14:00:00
SACL FOLHA 7 - ZB,,4253927,2026-03-02,165107,25918,1180205/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,14:05:08
SACL FOLHA 8 - ZB,,4253928,2026-03-02,165108,15950,1180204/0032,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,15:46:42
SACL FOLHA 9 - ZB,,4253929,2026-03-02,165109,473,1180076/0032,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,15:24:42
CORTE E SOLDA 2,,4253931,2026-03-02,167102,42349,1177991/0030,11052338-0001,SACO PLT P AMARRADINHO INST25 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
SACL FOLHA 5 - ZB,,4253936,2026-03-02,165105,20000,1180089/0030,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,,01,FLEXOGRAFICA,1,14:00:08,22:00:00
SACL FOLHA 1 - ZB,,4253943,2026-03-02,165101,21741,1180076/0030,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,13:55:14,14:00:00
NEW LONG 10 INDUSTRIAL,,4253944,2026-03-02,165010,145,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,13:57:25,14:00:00
NEW LONG FOLHA,,4253947,2026-03-02,165019,14333,1180681/0050,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 24,,4253955,2026-03-02,165024,29613,1178337/0020,13020815-0001,SACL PAP AUT FSC® M INST24 DECATHLON,DECATHLON,01,FLEXOGRAFICA,1,14:00:00,22:00:00
MK HEIDELBERG PROMATRIX 3 ,,4253956,2026-03-02,155013,9920,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,16:05:10
COLADEIRA SACOLA PREMIUM,,4253958,2026-03-02,156101,3380,1179128/0050,2100080330,SACL PAP MAN FSC®P INST25 ANACAPRI,ANACAPRI,02,OFFSET,1,14:00:00,15:23:46
NEW LONG 5,,4253960,2026-03-02,165005,18051,1179327/0020,13019540-0001,50381317 SACL PAP AUT FSC®PP GEN NAT EXP,NATURA CHILE,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 8,,4253962,2026-03-02,165008,32843,1179938/0020,2100073692,SACL AUT FSC® MINI BAS,NATURA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 17 P,,4253963,2026-03-02,165017,13247,1180612/0020,13019433-0003,SACL PAP AUT FSC® P INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
MÁQUINA ALÇA FLET 3,,4253965,2026-03-02,163003,104262,1181492/0031,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
TORCEDEIRA 12 GALAN,,4253966,2026-03-02,163012,28844,1181079/0021,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 22,,4253969,2026-03-02,165022,39257,1181344/0021,13019478-0002,SACL PAP AUT FSC® P V2 INST22 RENNER,RENNER,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 10 INDUSTRIAL,,4253970,2026-03-02,165010,37018,1180636/0020,13019898-0002,SACL PAP AUT FSC® M INST23 V3 LUPO,LUPO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 18 G,,4253971,2026-03-02,165018,22356,1179945/0020,2100072233,50495344 SACL AUT FSC®M BAS PAC10,NATURA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
GUILHOTINA 2,,4253973,2026-03-02,151002,208800,1181390/0020,2100077670,90822 REF FDO FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,18:55:33
GUILHOTINA - ACAB NL 03,,4253980,2026-03-02,151007,195600,1180744/0020,2100077669,90821 REF FDO FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,14:00:00,22:00:00
GUILHOTINA POLAR 150,,4253985,2026-03-02,151006,40632,1180681/0040,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,14:00:00,22:00:00
HEIDELBERG XL 106,,4254012,2026-03-02,152007,5921,1180904/0060,11054482-0001,CTCHO FDO AUT FSC®M MAES26 ANACAPRI,ANACAPRI,02,OFFSET,1,14:00:00,22:00:00
C/V AUTO VARIMATRIX 3,,4254023,2026-03-02,155007,3710,1175009/0040,2100078741,CAPA EXT FDO TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,14:00:00,16:51:29
MK HEIDELBERG PROMATRIX 2,,4254026,2026-03-02,155012,845,1175005/0040,2100078739,CAPA EXT TPA TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,14:00:00,14:29:47
COLADEIRA EASYGLUER 100,,4254027,2026-03-02,156003,4855,1180319/0050,2100080954,CX FDO P PRES INST26 BC,CHOC BRASIL CACAU,02,OFFSET,1,14:00:00,14:58:31
ONYX 808,,4254033,2026-03-02,160007,7105,1180991/0010,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,14:00:00,15:34:02
LAMINADORA ZFM1080S,,4254036,2026-03-02,161007,5085,1180793/0040,2100081090,SACL PAP MAN FSC®P MAES26 LE LIS,LE LIS BLANC,01,FLEXOGRAFICA,1,14:00:00,15:14:55
REBOBINADEIRA 1,,4254037,2026-03-02,162001,34006,1181493/0020,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
REBOBINADEIRA 6,,4254038,2026-03-02,162006,12371,1179926/0005,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,14:00:00,16:14:16
NEW LONG 4,,4254042,2026-03-02,165004,20743,1179836/0040,13021348-0001,90819 SACL PAP AUT FSC®PP PDVG INST25 BO,BOTICARIO,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 20,,4254048,2026-03-02,165020,15292,1177833/0050,13019720-0001,SACL PAP AUT NLN FSC® P INST22 T&F,TRACK & FIELD,01,FLEXOGRAFICA,1,14:00:00,22:00:00
NEW LONG 21,,4254049,2026-03-02,165021,3570,1179865/0050,13021635-0001,94371 SACL PAP NLF FSC®M MAES26 EUD,EUDORA,01,FLEXOGRAFICA,1,14:00:00,22:00:00
HOT BOBINA 02,,4254065,2026-03-02,175002,27741,1180681/0020,13021506-0001,SACL PAP AUT NLF P INST26 KOP,KOPENHAGEN,02,OFFSET,1,14:00:00,22:00:00
HOT BOBINA 03,,4254066,2026-03-02,175003,34449,1180089/0020,13021640-0001,96444 SACL PAP NLF FSC®G PDVG MAES26 BOT,BOTICARIO,02,OFFSET,1,14:00:00,22:00:00
MAQUINA JANELEIRA,,4254089,2026-03-02,156016,16680,1181089/0060,11054361-0001,96440 CTCHO ENV FSC®P C VISOR MAES26 BOT,BOTICARIO,02,OFFSET,1,14:00:35,22:00:00
SACL FOLHA 7 - ZB,,4254090,2026-03-02,165107,27978,1180205/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:05:08,22:00:00
NEW LONG 3,,4254092,2026-03-02,165003,6821,1179202/0015,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,14:02:56,15:22:57
TORCEDEIRA 10 GALAN,,4254102,2026-03-02,163010,32813,1181079/0020,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,14:08:10,22:00:00
MÁQUINA ALÇA FLET 1,,4254103,2026-03-02,163001,57140,1179623/0030,2400004111,ALCA CHATA FSCM - C04 - VERDE - P343C, ,01,FLEXOGRAFICA,1,14:08:37,22:00:00
SACL FOLHA 2 - ZB,,4254104,2026-03-02,165102,27582,1180076/0031,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,14:11:14,22:00:00
CORTADEIRA FURNAX,,4254106,2026-03-02,150001,4705,1179893/0010,2100057900,CAPA INT TPA CX TIPO E ECOM TENIS 2 T&F,TRACK & FIELD,02,OFFSET,1,14:17:46,14:57:55
C/V HEIDELBERG PROMATRIX 1 ,,4254108,2026-03-02,155010,12420,1180567/0060,2100079017,ENV CARTAO VALE PRES IND INST25 BOT,BOTICARIO,02,OFFSET,1,14:27:00,20:46:20
MK HEIDELBERG PROMATRIX 2,,4254109,2026-03-02,155012,740,1175005/0040,2100078739,CAPA EXT TPA TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,14:29:47,15:29:21
GUILHOTINA HERCULES,,4254140,2026-03-02,151004,4675,1179893/0020,2100057900,CAPA INT TPA CX TIPO E ECOM TENIS 2 T&F,TRACK & FIELD,02,OFFSET,1,15:02:17,21:42:48
COLADEIRA EASYGLUER 100,,4254141,2026-03-02,156003,10621,1180398/0050,2100080974,CX FDO M PRES INST26 BC,CHOC BRASIL CACAU,02,OFFSET,1,15:03:02,21:08:32
LAMINADORA ZFM1080S,,4254146,2026-03-02,161007,3718,1180895/0040,2100081093,SACL PAP MAN FSC®M MAES 26 LE LIS PT1,LE LIS BLANC,01,FLEXOGRAFICA,1,15:15:52,22:00:00
CORTADEIRA FURNAX,,4254147,2026-03-02,150001,12100,1180570/0010,2100057862,CAPA INT CX TIPO E ECOM P T&F,TRACK & FIELD,02,OFFSET,1,15:22:07,17:08:32
NEW LONG 3,,4254150,2026-03-02,165003,24795,1180991/0020,13020033-0001,SACL PAP AUT FSC® P INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,15:24:24,22:00:00
NEW LONG 11 - P,,4254151,2026-03-02,165011,37855,1179199/0030,13012300-0001,SACL PAP AUT FSC® P INST LINDT,LINDT,01,FLEXOGRAFICA,1,15:25:24,22:00:00
SACL FOLHA 9 - ZB,,4254152,2026-03-02,165109,17718,1180076/0032,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,15:24:42,22:00:00
MK HEIDELBERG PROMATRIX 2,,4254156,2026-03-02,155012,6409,1175005/0040,2100078739,CAPA EXT TPA TIPO E FSC®TENIS U NETSHOES,NETSHOES,02,OFFSET,1,15:29:21,22:00:00
ONYX 808,,4254163,2026-03-02,160007,23275,1180451/0010,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,15:34:39,18:57:21
SACL FOLHA 6 - ZB,,4254165,2026-03-02,165106,25968,1180205/0033,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,15:34:42,22:00:00
SACL FOLHA 1 - ZB,,4254166,2026-03-02,165101,24650,1180076/0030,13021639-0001,96443 SACL PAP NLF FSC®M PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,15:38:23,22:00:00
SACL FOLHA 8 - ZB,,4254167,2026-03-02,165108,21934,1180204/0032,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,15:46:42,22:00:00
SACL FOLHA 4 - ZB,,4254170,2026-03-02,165104,26864,1180084/0030,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,15:54:24,22:00:00
HOT BOBINA 01 ,,4254172,2026-03-02,175001,4808,1178408/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,15:56:58,16:50:53
MK HEIDELBERG PROMATRIX 3 ,,4254176,2026-03-02,155013,23106,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,16:05:10,22:00:00
REBOBINADEIRA 6,,4254179,2026-03-02,162006,23508,1179926/0005,2100072230,SACL AUT FSC® P BAS NAT,NATURA,01,FLEXOGRAFICA,1,16:14:16,22:00:00
MÁQUINA ALÇA FLET 2,,4254182,2026-03-02,163002,133622,1181492/0030,2400009888,FIO CHATA FSCM BEGE SAMAECO MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,16:23:25,22:00:00
TORCEDEIRA 11 GALAN,,4254183,2026-03-02,163011,49488,1181079/0022,2200000017,FIO P.T FSCM - A02 - PARDO - XXXX, ,01,FLEXOGRAFICA,1,16:23:45,22:00:00
SACL FOLHA 3 - ZB,,4254185,2026-03-02,165103,25718,1180205/0035,13021637-0001,96442 SACL PAP NLF FSC®P PDVG MAES26 BOT,BOTICARIO,01,FLEXOGRAFICA,1,16:37:24,22:00:00
CORTADEIRA FURNAX,,4254192,2026-03-02,150001,37321,1178314/0020,13019721-0001,SACL PAP AUT NLN FSC® M INST22 T&F,TRACK & FIELD,02,OFFSET,1,17:09:11,22:00:00
CORTE E SOLDA 3,,4254194,2026-03-02,167103,19700,1173042/0010,13012349-0001,SACO TRANSP BOPP 15X22 PP,CHOC BRASIL CACAU,01,FLEXOGRAFICA,1,17:16:43,22:00:00
HOT BOBINA 01 ,,4254199,2026-03-02,175001,13320,1180971/0020,13021463-0001,90821 SACL PAP NLF FSC®P PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,17:59:13,22:00:00
COLADEIRA EASYGLUER SIMPLES,,4254207,2026-03-02,156004,10006,1179887/0050,2100069904,SACL PAP SAUT FSC M LOJA23 NATURA,NATURA VAREJO,02,OFFSET,1,18:44:18,22:00:00
GUILHOTINA 2,,4254209,2026-03-02,151002,64800,1181277/0030,2100077672,90823 REF FDO FSC®G PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,18:56:05,22:00:00
ONYX 808,,4254210,2026-03-02,160007,39843,1180451/0010,13020040-0001,SACL PAP AUT FSC® M INST23 PDV EUD,EUDORA,01,FLEXOGRAFICA,1,18:57:21,22:00:00
MK HEIDELBERG PROMATRIX 3 ,,4254234,2026-03-02,155013,4645,1180227/0060,2100077634,89401 CX TP FSC®M PDVG INST25 BOT,BOTICARIO,02,OFFSET,1,22:00:00,22:29:11
